id,lat,lon,placeCount,place,address
2,15.781512726846858,103.00219976072401,3,school|establishment|point_of_interest,"Hak Noi-don Kloi Rd, Tambon Nong Mek, Amphoe Na Chueak, Chang Wat Maha Sarakham 44170, Thailand"
3,15.781512726846858,103.0302380872622,34,establishment|point_of_interest|hospital,"ถนนนาเชือก-พยัฆภูมพิสัย Tambon Na Chueak, Amphoe Na Chueak, Chang Wat Maha Sarakham 44170, Thailand"
7,15.781512726846858,103.47885131187331,3,school|establishment|point_of_interest,"Unnamed Road, Tambon Du Noi, Amphoe Chaturaphak Phiman, Chang Wat Roi Et 45180, Thailand"
8,15.781512726846858,103.50688963841151,6,establishment|point_of_interest|hospital,"Unnamed Road, Tambon I Ngong, Amphoe Chaturaphak Phiman, Chang Wat Roi Et 45180, Thailand"
16,15.754533079476698,103.0021232736699,2,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Nong Mek, Amphoe Na Chueak, Chang Wat Maha Sarakham 44170, Thailand"
20,15.754533079476698,103.17033084591685,6,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Dong Duan, Amphoe Na Dun, Chang Wat Maha Sarakham 44170, Thailand"
21,15.754533079476698,103.19836544129134,3,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Dong Duan, Amphoe Na Dun, Chang Wat Maha Sarakham 44180, Thailand"
23,15.754533079476698,103.39460760891279,5,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Pho Chai, Amphoe Wapi Pathum, Chang Wat Maha Sarakham 44120, Thailand"
24,15.72755343210632,102.46946037742089,3,school|establishment|point_of_interest,"Unnamed Road, Tambon Khok Sa-nga, Amphoe Phon, Chang Wat Khon Kaen 40120, Thailand"
31,15.72755343210632,103.00204693436456,1,supermarket|establishment|store|point_of_interest|grocery_or_supermarket|food,"Unnamed Road, Tambon Ban Du, Amphoe Na Pho, Chang Wat Buri Ram 31230, Thailand"
38,15.72755343210632,103.45054087705398,1,school|establishment|point_of_interest,"รอ.3006 Tambon Ban Fang, Amphoe Kaset Wisai, Chang Wat Roi Et 45150, Thailand"
47,15.673594137364933,102.52549613177553,8,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Mueang Phalai, Amphoe Bua Lai, Chang Wat Nakhon Ratchasima 30120, Thailand"
76,15.619634842622684,102.60951838673316,8,school|establishment|point_of_interest,"นม.1013 Tambon Nong Tat Yai, Amphoe Sida, Chang Wat Nakhon Ratchasima 30430, Thailand"
85,15.619634842622684,103.33793562372352,24,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Non Sa-nga, Amphoe Pathum Rat, Chang Wat Roi Et 45190, Thailand"
86,15.619634842622684,103.39396771887664,1,establishment|store|point_of_interest|grocery_or_supermarket|food,"Unnamed Road, Tambon Phon Sung, Amphoe Pathum Rat, Chang Wat Roi Et 45190, Thailand"
98,15.592655195251242,103.42185284470952,1,establishment|store|point_of_interest,"2269, Tambon Non Sawan, Amphoe Pathum Rat, Chang Wat Roi Et 45190, Thailand"
111,15.56567554787959,103.39371349909061,1,establishment|store|point_of_interest|grocery_or_supermarket|food,"Unnamed Road, Tambon Sra Bua, Amphoe Pathum Rat, Chang Wat Roi Et 45190, Thailand"
112,15.56567554787959,103.42172217787368,1,establishment|store|point_of_interest|grocery_or_supermarket|food,"Arun Prasert Rd, Tambon Non Sawan, Amphoe Pathum Rat, Chang Wat Roi Et 45190, Thailand"
132,15.511716253135651,103.39346026958151,5,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Mueang Tao, Amphoe Phayakkhaphum Phisai, Chang Wat Maha Sarakham 44110, Thailand"
139,15.484736605763363,102.91737347597518,9,school|establishment|point_of_interest,"Unnamed Road, Tambon Lahan Pla Khao, Amphoe Mueang Yang, Chang Wat Nakhon Ratchasima 30270, Thailand"
142,15.484736605763363,103.05736187298226,3,school|establishment|point_of_interest,"Unnamed Road, Tambon Ban Yang, Amphoe Phutthaisong, Chang Wat Buri Ram 31120, Thailand"
144,15.484736605763363,103.33733866699617,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Rat Charoen, Amphoe Phayakkhaphum Phisai, Chang Wat Maha Sarakham 44110, Thailand"
146,15.484736605763363,103.47732706400325,1,establishment|store|point_of_interest|clothing_store,"Unnamed Road, Tambon Thung Thong, Amphoe Kaset Wisai, Chang Wat Roi Et 45150, Thailand"
152,15.45775695839087,102.77733942914028,3,school|establishment|point_of_interest,"Unnamed Road, Tambon Khok Klang, Amphoe Prathai, Chang Wat Nakhon Ratchasima 30180, Thailand"
154,15.45775695839087,103.08527372913261,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Ban Yang, Amphoe Phutthaisong, Chang Wat Buri Ram 31120, Thailand"
160,15.45775695839087,103.30922594730885,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Rat Charoen, Amphoe Phayakkhaphum Phisai, Chang Wat Maha Sarakham 44110, Thailand"
161,15.45775695839087,103.36521400185302,1,establishment|point_of_interest|hospital,"Hwy Maha Sarakham 3003, Tambon Mueang Tao, Amphoe Phayakkhaphum Phisai, Chang Wat Maha Sarakham 44110, Thailand"
162,15.45775695839087,103.449196083669,3,school|establishment|point_of_interest,"Unnamed Road, Tambon Thung Thong, Amphoe Kaset Wisai, Chang Wat Roi Et 45150, Thailand"
164,15.430777311018163,102.60935157498409,4,school|establishment|point_of_interest,"Unnamed Road, Tambon Krachon, Amphoe Phimai, Chang Wat Nakhon Ratchasima 30110, Thailand"
165,15.430777311018163,102.637341957285,4,school|establishment|point_of_interest,"Unnamed Road, Tambon Krachon, Amphoe Phimai, Chang Wat Nakhon Ratchasima 30110, Thailand"
179,15.403797663645244,102.60932793095878,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Krachon, Amphoe Phimai, Chang Wat Nakhon Ratchasima 30110, Thailand"
180,15.403797663645244,102.69328816440941,7,school|establishment|point_of_interest,"Unnamed Road, Tambon Krachon, Amphoe Phimai, Chang Wat Nakhon Ratchasima 30270, Thailand"
181,15.403797663645244,102.72127490889295,5,school|establishment|point_of_interest,"Unnamed Road, Tambon Nong Lak, Amphoe Chum Phuang, Chang Wat Nakhon Ratchasima 30270, Thailand"
186,15.403797663645244,103.1970495651127,10,school|establishment|point_of_interest,"Unnamed Road, Tambon Mueang Bua, Amphoe Chumphon Buri, Chang Wat Surin 32190, Thailand"
200,15.349838368898796,102.6092807822888,4,school|establishment|point_of_interest,"Unnamed Road, Tambon Krachon, Amphoe Phimai, Chang Wat Nakhon Ratchasima 30110, Thailand"
201,15.349838368898796,102.63726027258144,6,school|establishment|point_of_interest,"Unnamed Road, Tambon Dong Yai, Amphoe Phimai, Chang Wat Nakhon Ratchasima 30110, Thailand"
212,15.349838368898796,103.50462447164955,3,school|establishment|point_of_interest,"Unnamed Road, Tambon Na Nong Phai, Amphoe Chumphon Buri, Chang Wat Surin 32190, Thailand"
214,15.322858721525252,102.63723315149832,7,school|establishment|point_of_interest,"เลขที่ 116 หมู่ที่ 15 บ้านโนนระเวียง, ตำบลประสุข อำเภอชุมพวง จังหวัดนครราชสีมา, 30270 Thailand"
215,15.322858721525252,102.66520902540856,5,school|establishment|point_of_interest,"Unnamed Road, Tambon Prasuk, Amphoe Chum Phuang, Chang Wat Nakhon Ratchasima 30270, Thailand"
216,15.322858721525252,102.72116077322903,5,school|establishment|point_of_interest,"Unnamed Road, Tambon Prasuk, Amphoe Chum Phuang, Chang Wat Nakhon Ratchasima 30270, Thailand"
224,15.295879074151507,102.80503967191976,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Non Rang, Amphoe Chum Phuang, Chang Wat Nakhon Ratchasima 30270, Thailand"
234,15.268899426777557,102.63717906986108,15,school|establishment|point_of_interest,"Unnamed Road, Tambon Bot, Amphoe Phimai, Chang Wat Nakhon Ratchasima 30110, Thailand"
241,15.268899426777557,103.47623894635922,2,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Krapho, Amphoe Tha Tum, Chang Wat Surin 32120, Thailand"
242,15.268899426777557,103.50420760890916,5,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Krapho, Amphoe Tha Tum, Chang Wat Surin 32120, Thailand"
248,15.241919779403396,102.74901237949518,13,establishment|point_of_interest|hospital,"Moo 10, Tambon Tha Lat, Amphoe Chum Phuang, Nakhon Ratchasima, 30270, Thailand"
249,15.241919779403396,102.80494251462176,3,school|establishment|point_of_interest,"Unnamed Road, Tambon Non Rang, Amphoe Chum Phuang, Chang Wat Nakhon Ratchasima 30270, Thailand"
256,15.241919779403396,103.36424386588749,4,school|establishment|point_of_interest,"Unnamed Road, Tambon Sakae, Amphoe Satuek, Chang Wat Buri Ram 31150, Thailand"
257,15.241919779403396,103.42017400101406,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Thung Wang, Amphoe Satuek, Chang Wat Buri Ram 31150, Thailand"
258,15.241919779403396,103.44813906857735,3,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Krapho, Amphoe Tha Tum, Chang Wat Surin 32120, Thailand"
259,15.241919779403396,103.47610413614063,2,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Krapho, Amphoe Tha Tum, Chang Wat Surin 32120, Thailand"
260,15.241919779403396,103.50406920370392,15,school|establishment|point_of_interest,"สร.3027 Tambon Krapho, Amphoe Tha Tum, Chang Wat Surin 32120, Thailand"
266,15.214940132029035,103.11247035694225,8,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Tum Yai, Amphoe Khu Mueang, Chang Wat Buri Ram 31190, Thailand"
267,15.214940132029035,103.36412367424043,3,school|establishment|point_of_interest,"Unnamed Road, Tambon Sanam Chai, Amphoe Satuek, Chang Wat Buri Ram 31150, Thailand"
270,15.187960484654461,102.72097204510499,2,school|establishment|point_of_interest,"4043, Tambon Sarai, Amphoe Chum Phuang, Chang Wat Nakhon Ratchasima 30270, Thailand"
271,15.187960484654461,102.74892994406014,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Sarai, Amphoe Chum Phuang, Chang Wat Nakhon Ratchasima 30270, Thailand"
272,15.187960484654461,102.80484574197044,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Talat Sai, Amphoe Chum Phuang, Chang Wat Nakhon Ratchasima 30270, Thailand"
273,15.187960484654461,102.88871943883589,2,school|establishment|point_of_interest,"Unnamed Road, Ban Yang, Amphoe Lam Thamenchai, Chang Wat Nakhon Ratchasima 30270, Thailand"
274,15.187960484654461,103.14034052943225,7,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Non Khwang, Amphoe Ban Dan, Chang Wat Buri Ram, Thailand"
275,15.187960484654461,103.19625632734255,4,establishment|point_of_interest|hospital,"219, Tambon Don Mon, Amphoe Satuek, Chang Wat Buri Ram 31150, Thailand"
