id,lat,lon,placeCount,place,address
2,15.80012072628986,101.3069241340902,2,establishment|home_goods_store|store|point_of_interest,"225, Tambon Yang Sao, Amphoe Wichian Buri, Chang Wat Phetchabun 67130, Thailand"
3,15.80012072628986,101.44712865480426,1,establishment|store|point_of_interest,"Unnamed Road, Tambon Pong Nok, Amphoe Thep Sathit, Chang Wat Chaiyaphum 36230, Thailand"
24,15.773141078919853,101.67139050734613,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Khok Sa-at, Amphoe Nong Bua Rawe, Chang Wat Chaiyaphum 36250, Thailand"
59,15.71918178417919,101.44702238575167,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Na Yang Klak, Amphoe Thep Sathit, Chang Wat Chaiyaphum 36230, Thailand"
110,15.63824284206658,101.41889813702892,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Ban Rai, Amphoe Thep Sathit, Chang Wat Chaiyaphum 36230, Thailand"
142,15.584283547323787,101.58690272178228,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Sap Yai, Amphoe Sap Yai, Chang Wat Chaiyaphum 36130, Thailand"
199,15.503344605207992,102.87475233446617,3,school|establishment|point_of_interest,"Unnamed Road, Tambon Lahan Pla Khao, Amphoe Mueang Yang, Chang Wat Nakhon Ratchasima 30270, Thailand"
221,15.449385310463088,102.95828895241755,5,school|establishment|store|point_of_interest|grocery_or_supermarket|food,"Unnamed Road, Tambon Krabueang Nok, Amphoe Mueang Yang, Chang Wat Nakhon Ratchasima 30270, Thailand"
237,15.422405663090316,102.93006838678684,3,establishment|point_of_interest|store|hospital|grocery_or_supermarket|food,"Unnamed Road, Tambon Mueang Yang, Amphoe Mueang Yang, Chang Wat Nakhon Ratchasima 30270, Thailand"
242,15.395426015717343,102.09027264944496,1,establishment|home_goods_store|store|point_of_interest,"Unnamed Road, Tambon Non Mueang, Amphoe Kham Sakaesaeng, Chang Wat Nakhon Ratchasima 30290, Thailand"
266,15.341466720970756,101.2506860144,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Ko Rang, Amphoe Chai Badan, Chang Wat Lopburi 15130, Thailand"
268,15.341466720970756,101.44653458608468,3,establishment|store|point_of_interest,"Unnamed Road, Tambon Bueng Prue, Amphoe Thepharak, Chang Wat Nakhon Ratchasima 30210, Thailand"
269,15.341466720970756,101.50249132085173,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Wang Yai Thong, Amphoe Thepharak, Chang Wat Nakhon Ratchasima 30210, Thailand"
289,15.314487073597153,101.44650025327678,5,cafe|school|establishment|point_of_interest|store|food,"Unnamed Road, Tambon Bueng Prue, Amphoe Thepharak, Chang Wat Nakhon Ratchasima 30210, Thailand"
290,15.314487073597153,101.47447500649264,3,establishment|store|point_of_interest|grocery_or_supermarket|food,"Unnamed Road Bueng Prue, Thepharak District, Nakhon Ratchasima 30210, Thailand"
332,15.260527778849323,101.92188007774303,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Banlang, Amphoe Non Thai, Chang Wat Nakhon Ratchasima 30220, Thailand"
342,15.260527778849323,102.87277665130637,1,local_government_office|establishment|point_of_interest,"นม.4047 Tambon Chong Maeo, Amphoe Lam Thamenchai, Chang Wat Nakhon Ratchasima 30270, Thailand"
346,15.2335481314751,101.22268603332782,5,establishment|point_of_interest|store|hospital|food,"2272, Tambon Bua Chum, Amphoe Chai Badan, Chang Wat Lopburi 15130, Thailand"
360,15.206568484100666,101.41840323158522,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Huai Bong, Amphoe Dan Khun Thot, Chang Wat Nakhon Ratchasima 30210, Thailand"
381,15.17958883672603,101.19471850128502,1,establishment|store|point_of_interest|grocery_or_supermarket|food,"Unnamed Road, Tambon Tha Manao, Amphoe Chai Badan, Chang Wat Lopburi 15130, Thailand"
394,15.17958883672603,102.76029870291222,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Non Tun, Amphoe Chum Phuang, Chang Wat Nakhon Ratchasima 30270, Thailand"
413,15.15260918935119,102.676237265596,7,supermarket|school|establishment|point_of_interest|store|grocery_or_supermarket|food,"Unnamed Road, Tambon Lung Takhian, Amphoe Huai Thalaeng, Chang Wat Nakhon Ratchasima 30240, Thailand"
414,15.15260918935119,102.84395657294453,3,school|establishment|point_of_interest|store|grocery_or_supermarket|food,"2223, Tambon Khok Lam, Amphoe Lam Plai Mat, Chang Wat Buri Ram 31130, Thailand"
415,15.15260918935119,102.87190979083596,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Khok Sa-at, Amphoe Lam Plai Mat, Chang Wat Buri Ram 31130, Thailand"
417,15.125629541976146,101.33446320485461,5,establishment|point_of_interest|store|hospital,"Unnamed Road, Tambon Sap Ta Khian, Amphoe Chai Badan, Chang Wat Lopburi 15130, Thailand"
418,15.125629541976146,101.39036251200866,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Khao Noi, Amphoe Lam Sonthi, Chang Wat Lopburi 15130, Thailand"
432,15.125629541976146,102.70399623012884,3,school|establishment|point_of_interest,"Unnamed Road, Tambon Lung Takhian, Amphoe Huai Thalaeng, Chang Wat Nakhon Ratchasima 30240, Thailand"
433,15.125629541976146,102.87169415159099,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Khok Lam, Amphoe Lam Plai Mat, Chang Wat Buri Ram 31130, Thailand"
459,15.044690599849782,101.25058762361334,4,school|florist|establishment|point_of_interest|store,"Unnamed Road, Tambon Sap Champa, Amphoe Tha Luang, Chang Wat Lopburi 15230, Thailand"
462,15.044690599849782,101.8931846982266,1,school|establishment|point_of_interest,"Unnamed Road, Tambon Bueng O, Amphoe Kham Thale So, Chang Wat Nakhon Ratchasima 30280, Thailand"
473,15.044690599849782,102.81517180527953,3,furniture_store|school|establishment|home_goods_store|store|point_of_interest,"Unnamed Road, Tambon Hin Khon, Amphoe Lam Plai Mat, Chang Wat Buri Ram 31130, Thailand"
475,15.017710952473925,101.22264331825863,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Sap Champa, Amphoe Tha Luang, Chang Wat Lopburi 15230, Thailand"
657,14.828853420837252,102.22739940773783,8,school|establishment|store|point_of_interest|food,"Unnamed Road, Tambon Lalom Mai Phatthana, Amphoe Chok Chai, Chang Wat Nakhon Ratchasima 30190, Thailand"
737,14.720934831326185,101.69683535869933,2,establishment|store|point_of_interest|grocery_or_supermarket|food,"Unnamed Road, Tambon Makluea Mai, Amphoe Sung Noen, Chang Wat Nakhon Ratchasima 30170, Thailand"
787,14.666975536569465,101.66881765608287,8,school|establishment|store|point_of_interest|grocery_or_supermarket|food,"Unnamed Road, Tambon Khlong Muang, Amphoe Pak Chong, Chang Wat Nakhon Ratchasima 30130, Thailand"
